 <2023-11-24 14:49:48> Line: 368, ErrNum: 0, 新系统数据:......................................
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=45,,m_para[0~5]=1099.840000,1093.500000,8592.000000,512.210000,0.000000,516.970000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=46,,m_para[0~5]=1099.840000,1093.500000,8592.000000,520.600000,0.000000,525.870000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=47,,m_para[0~5]=1099.840000,1093.500000,8592.000000,530.240000,0.000000,536.310000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=48,,m_para[0~5]=1099.840000,1093.500000,8592.000000,539.660000,0.000000,546.270000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=49,,m_para[0~5]=1099.840000,1093.500000,9193.000000,547.720000,0.000000,554.770000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=50,,m_para[0~5]=1099.840000,1093.500000,9794.000000,557.940000,0.000000,565.730000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=51,,m_para[0~5]=1099.840000,1093.500000,9794.000000,566.290000,0.000000,574.340000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=52,,m_para[0~5]=1099.840000,1093.500000,9794.000000,575.970000,0.000000,584.580000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=53,,m_para[0~5]=1099.840000,1093.500000,9794.000000,584.140000,0.000000,592.920000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=54,,m_para[0~5]=1099.840000,1093.500000,9794.000000,594.020000,0.000000,603.280000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=55,,m_para[0~5]=1099.840000,1093.500000,10395.000000,604.500000,0.000000,614.120000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=56,,m_para[0~5]=1099.840000,1093.500000,10975.000000,614.010000,0.000000,623.880000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=57,,m_para[0~5]=1099.840000,1093.500000,10975.000000,625.390000,0.000000,635.670000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=58,,m_para[0~5]=1099.840000,1093.500000,10975.000000,636.590000,0.000000,647.000000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=59,,m_para[0~5]=1099.840000,1093.500000,10975.000000,645.660000,0.000000,656.090000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=60,,m_para[0~5]=1099.840000,1093.500000,11577.000000,656.590000,0.000000,667.250000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=61,,m_para[0~5]=1099.840000,1093.500000,12130.000000,667.120000,0.000000,678.040000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=62,,m_para[0~5]=1099.840000,1093.500000,12130.000000,675.750000,0.000000,686.710000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=63,,m_para[0~5]=1099.840000,1093.500000,12130.000000,685.800000,0.000000,697.010000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=64,,m_para[0~5]=1099.840000,1093.500000,12130.000000,695.720000,0.000000,707.000000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=65,,m_para[0~5]=1099.840000,1093.500000,12130.000000,705.350000,0.000000,716.700000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=66,,m_para[0~5]=1099.840000,1093.500000,12732.000000,713.460000,0.000000,724.840000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=67,,m_para[0~5]=1099.840000,1093.500000,13311.000000,723.110000,0.000000,734.130000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=68,,m_para[0~5]=1099.840000,1093.500000,13311.000000,732.570000,0.000000,743.380000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=69,,m_para[0~5]=1099.840000,1093.500000,13311.000000,740.140000,0.000000,750.650000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=70,,m_para[0~5]=1099.840000,1093.500000,13311.000000,749.080000,0.000000,759.480000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=71,,m_para[0~5]=1099.840000,1093.500000,13311.000000,757.650000,0.000000,767.900000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=72,,m_para[0~5]=1099.840000,1093.500000,14478.000000,764.930000,0.000000,774.860000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=73,,m_para[0~5]=1099.840000,1093.500000,14478.000000,773.390000,0.000000,782.710000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=74,,m_para[0~5]=1099.840000,1093.500000,14478.000000,780.210000,0.000000,789.100000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=75,,m_para[0~5]=1099.840000,1093.500000,14478.000000,786.790000,0.000000,795.330000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=76,,m_para[0~5]=1099.840000,1093.500000,14478.000000,794.630000,0.000000,802.870000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=77,,m_para[0~5]=1099.840000,1093.500000,15079.000000,801.050000,0.000000,809.020000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=78,,m_para[0~5]=1099.840000,1093.500000,15627.000000,808.690000,0.000000,816.460000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=79,,m_para[0~5]=1099.840000,1093.500000,15627.000000,814.880000,0.000000,822.450000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=80,,m_para[0~5]=1099.840000,1093.500000,15627.000000,822.530000,0.000000,830.000000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=81,,m_para[0~5]=1099.840000,1093.500000,15627.000000,830.210000,0.000000,837.570000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=82,,m_para[0~5]=1099.840000,1093.500000,15627.000000,836.880000,0.000000,844.080000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=83,,m_para[0~5]=1176.980000,1178.090000,16228.000000,844.100000,0.000000,852.090000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=84,,m_para[0~5]=1176.980000,1178.090000,16826.000000,850.660000,0.000000,858.890000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=85,,m_para[0~5]=1176.980000,1178.090000,16826.000000,858.460000,0.000000,866.840000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=86,,m_para[0~5]=1176.980000,1178.090000,16826.000000,866.320000,0.000000,874.800000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=87,,m_para[0~5]=1176.980000,1178.090000,16826.000000,872.570000,0.000000,880.960000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=88,,m_para[0~5]=1176.980000,1178.090000,17427.000000,880.060000,0.000000,888.490000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=89,,m_para[0~5]=1176.980000,1178.090000,18028.000000,886.240000,0.000000,894.680000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=90,,m_para[0~5]=1176.980000,1178.090000,18028.000000,893.650000,0.000000,902.230000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=91,,m_para[0~5]=1176.980000,1178.090000,18028.000000,899.750000,0.000000,908.350000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=92,,m_para[0~5]=1176.980000,1178.090000,18028.000000,907.250000,0.000000,916.150000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=93,,m_para[0~5]=1176.980000,1178.090000,18028.000000,913.510000,0.000000,922.440000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=94,,m_para[0~5]=1176.980000,1178.090000,18630.000000,921.260000,0.000000,930.410000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=95,,m_para[0~5]=1176.980000,1178.090000,19196.000000,927.870000,0.000000,937.130000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=96,,m_para[0~5]=1176.980000,1178.090000,19196.000000,935.790000,0.000000,945.230000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=97,,m_para[0~5]=1176.980000,1178.090000,19196.000000,942.350000,0.000000,951.740000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=98,,m_para[0~5]=1176.980000,1178.090000,19196.000000,949.000000,0.000000,958.280000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=99,,m_para[0~5]=1176.980000,1178.090000,19797.000000,957.170000,0.000000,966.450000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=100,,m_para[0~5]=1176.980000,1178.090000,20349.000000,964.150000,0.000000,973.340000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=101,,m_para[0~5]=1176.980000,1178.090000,20349.000000,970.960000,0.000000,979.990000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=102,,m_para[0~5]=1176.980000,1178.090000,20349.000000,977.560000,0.000000,986.440000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=103,,m_para[0~5]=1176.980000,1178.090000,20349.000000,984.000000,0.000000,992.740000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=104,,m_para[0~5]=1176.980000,1178.090000,20349.000000,991.670000,0.000000,1000.380000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=105,,m_para[0~5]=1176.980000,1178.090000,20951.000000,998.390000,0.000000,1007.160000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=106,,m_para[0~5]=1176.980000,1178.090000,20951.000000,1003.930000,0.000000,1012.570000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=107,,m_para[0~5]=1176.980000,1178.090000,21552.000000,1010.290000,0.000000,1018.890000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=108,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1015.950000,0.000000,1024.370000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=109,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1020.470000,0.000000,1028.530000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=110,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1025.740000,0.000000,1033.570000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=111,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1030.820000,0.000000,1038.420000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=112,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1035.090000,0.000000,1042.460000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=113,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1040.120000,0.000000,1047.330000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=114,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1044.360000,0.000000,1051.370000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=115,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1048.570000,0.000000,1055.400000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=116,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1053.660000,0.000000,1060.380000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=117,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1057.830000,0.000000,1064.370000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=118,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1062.780000,0.000000,1069.210000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=119,,m_para[0~5]=1176.980000,1178.090000,22154.000000,1066.750000,0.000000,1073.000000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=120,,m_para[0~5]=1176.980000,1178.090000,22755.000000,1071.060000,0.000000,1077.140000.
